,open,close,high,low,volume,money,avg,high_limit,low_limit,pre_close,paused,factor
2005-01-04 09:31:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,,0.0,0.2753180214133852
2005-01-04 09:32:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 09:33:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 09:34:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 09:35:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 09:36:00,1.51,1.51,1.51,1.51,2543.0,3850.0,1.51,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 09:37:00,1.51,1.51,1.51,1.51,0.0,0.0,1.51,1.7,1.39,1.51,0.0,0.2753180214133852
2005-01-04 09:38:00,1.51,1.51,1.51,1.51,0.0,0.0,1.51,1.7,1.39,1.51,0.0,0.2753180214133852
2005-01-04 09:39:00,1.51,1.51,1.51,1.51,0.0,0.0,1.51,1.7,1.39,1.51,0.0,0.2753180214133852
2005-01-04 09:40:00,1.51,1.51,1.51,1.51,0.0,0.0,1.51,1.7,1.39,1.51,0.0,0.2753180214133852
2005-01-04 09:41:00,1.51,1.51,1.51,1.51,0.0,0.0,1.51,1.7,1.39,1.51,0.0,0.2753180214133852
2005-01-04 09:42:00,1.51,1.51,1.51,1.51,0.0,0.0,1.51,1.7,1.39,1.51,0.0,0.2753180214133852
2005-01-04 09:43:00,1.55,1.55,1.55,1.55,1816.0,2815.0,1.55,1.7,1.39,1.51,0.0,0.2753180214133852
2005-01-04 09:44:00,1.55,1.55,1.55,1.55,0.0,0.0,1.55,1.7,1.39,1.55,0.0,0.2753180214133852
2005-01-04 09:45:00,1.55,1.55,1.55,1.55,0.0,0.0,1.55,1.7,1.39,1.55,0.0,0.2753180214133852
2005-01-04 09:46:00,1.53,1.53,1.53,1.53,363.0,556.0,1.53,1.7,1.39,1.55,0.0,0.2753180214133852
2005-01-04 09:47:00,1.53,1.53,1.53,1.53,7264.0,11119.0,1.53,1.7,1.39,1.53,0.0,0.2753180214133852
2005-01-04 09:48:00,1.53,1.53,1.53,1.53,0.0,0.0,1.53,1.7,1.39,1.53,0.0,0.2753180214133852
2005-01-04 09:49:00,1.53,1.53,1.53,1.53,4359.0,6660.0,1.53,1.7,1.39,1.53,0.0,0.2753180214133852
2005-01-04 09:50:00,1.53,1.53,1.53,1.53,3632.0,5560.0,1.53,1.7,1.39,1.53,0.0,0.2753180214133852
2005-01-04 09:51:00,1.53,1.53,1.53,1.53,3632.0,5560.0,1.53,1.7,1.39,1.53,0.0,0.2753180214133852
2005-01-04 09:52:00,1.53,1.53,1.53,1.53,726.0,1110.0,1.53,1.7,1.39,1.53,0.0,0.2753180214133852
2005-01-04 09:53:00,1.53,1.53,1.53,1.53,0.0,0.0,1.53,1.7,1.39,1.53,0.0,0.2753180214133852
2005-01-04 09:54:00,1.53,1.53,1.53,1.53,0.0,0.0,1.53,1.7,1.39,1.53,0.0,0.2753180214133852
2005-01-04 09:55:00,1.53,1.53,1.53,1.53,0.0,0.0,1.53,1.7,1.39,1.53,0.0,0.2753180214133852
2005-01-04 09:56:00,1.53,1.53,1.53,1.53,0.0,0.0,1.53,1.7,1.39,1.53,0.0,0.2753180214133852
2005-01-04 09:57:00,1.53,1.53,1.53,1.53,0.0,0.0,1.53,1.7,1.39,1.53,0.0,0.2753180214133852
2005-01-04 09:58:00,1.53,1.53,1.53,1.53,0.0,0.0,1.53,1.7,1.39,1.53,0.0,0.2753180214133852
2005-01-04 09:59:00,1.53,1.53,1.53,1.53,0.0,0.0,1.53,1.7,1.39,1.53,0.0,0.2753180214133852
2005-01-04 10:00:00,1.53,1.53,1.53,1.53,0.0,0.0,1.53,1.7,1.39,1.53,0.0,0.2753180214133852
2005-01-04 10:01:00,1.54,1.54,1.54,1.54,1816.0,2795.0,1.54,1.7,1.39,1.53,0.0,0.2753180214133852
2005-01-04 10:02:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:03:00,1.54,1.54,1.54,1.54,7264.0,11200.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:04:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:05:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:06:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:07:00,1.54,1.54,1.54,1.54,5448.0,8410.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:08:00,1.54,1.54,1.54,1.54,3995.0,6161.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:09:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:10:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:11:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:12:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:13:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:14:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:15:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:16:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:17:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:18:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:19:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:20:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:21:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:22:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:23:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:24:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:25:00,1.54,1.54,1.54,1.54,726.0,1118.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:26:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:27:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:28:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:29:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:30:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:31:00,1.54,1.54,1.54,1.54,726.0,1120.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:32:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:33:00,1.54,1.54,1.54,1.54,1816.0,2800.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:34:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:35:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:36:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:37:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:38:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:39:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:40:00,1.54,1.54,1.54,1.54,363.0,559.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:41:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:42:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:43:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:44:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:45:00,1.54,1.54,1.54,1.54,4359.0,6708.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:46:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:47:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
2005-01-04 10:48:00,1.54,1.54,1.54,1.54,0.0,0.0,1.54,1.7,1.39,1.54,0.0,0.2753180214133852
